benchmark,methods,pop_size,generations,run ke-1,run ke-2,run ke-3,run ke-4,run ke-5,run ke-6,run ke-7,run ke-8,run ke-9,run ke-10,run ke-11,run ke-12,run ke-13,run ke-14,run ke-15,run ke-16,run ke-17,run ke-18,run ke-19,run ke-20
X-n106-k14,CARI,50,20,39649.38462,41028.63654,42531.83462,39939.45,41694.93846,40925.13654,41614.10192,42613.08462,42243.30192,40775.03462,42854.81154,40899.79808,41463.60385,42566.49808,42351.03846,41230.93462,42729.50192,41330.54038,40100.8,41947.76346
X-n106-k14,CARI,50,21,39302.63269,40376.74038,41920.61154,39834.60962,41663.50577,40015.825,41223.14808,41895.39038,41959.80577,40720.65,42803.37115,40550.16154,40827.83462,42070.875,41741.99231,40984.57692,42665.84231,40932.20192,40011.00769,41821.10769
X-n106-k14,CARI,50,22,39324.94038,39868.67115,41860.25577,39669.11154,41386.03462,39597.62885,40847.85962,42171.57115,41488.85577,40442.84231,42439.70962,40266.03846,40245.375,41906.29038,41305.22692,40979.34231,42298.23269,40871.925,39679.17692,41961.78846
X-n106-k14,CARI,50,23,39140.13846,39288.35769,41615.64808,39705.34038,41260.34615,39310.1,40616.52308,41723.975,41281.98462,40335.45577,42006.025,40300.13269,40340.11538,41828.69231,41435.29808,40965.26154,41707.98077,40638.00385,39919.32692,41372.30192
X-n106-k14,CARI,50,24,38853.19423,39090.8,41690.13846,39673.41731,40813.62308,39047.28269,40316.58269,40645.50385,40547.01538,40397.52308,41745.21346,40367.625,40713.86731,41342.44423,41316.66538,40881.07308,41728.83462,40016.05769,39864.93077,40817.03654
X-n106-k14,CARI,50,25,38356.87885,38739.12115,41829.80192,39656.39231,40089.09423,38855.87308,39904.54615,40879.81154,40361.92692,40387.85577,41731.24231,40180.275,40281.04038,40791.025,40702.43269,40216.83077,41266.38462,39914.09615,39891.19615,40808.70192
X-n106-k14,CARI,50,26,38206.46346,38138.29808,42066.14231,39191.64038,39769.52115,38956.05769,39752.17115,40984.31538,39775.78077,39772.17885,40907.19808,40047.74038,39666.61538,40545.79231,40368.41154,39655.51538,40947.17308,39811.925,40061.76154,40312.89423
X-n106-k14,CARI,50,27,38181.18269,38096.875,41724.28846,39047.35769,39196.08654,38922.25577,39752.49808,40685.99615,40061.64231,39565.93269,40717.91731,40012.71154,39060.56923,40479.85385,40245.72885,39543.54231,40737.41154,39695.41346,39775.63462,39511.61731
X-n106-k14,CARI,50,28,38061.68462,38133.57308,41474.08269,38943.26154,39007.31923,38921.30962,39734.30385,40214.48654,39994.26538,39219.29615,40804.11923,39687.63462,38434.88269,40507.08077,40128.96538,39098.50577,40276.59038,39263.55192,39310.00577,39692.38654
X-n106-k14,CARI,50,29,37918.50192,37866.25769,41438.26731,38313.97885,38870.66731,38814.82115,39378.37692,39954.90577,39802.12308,39274.34615,40826.99615,39650.675,38201.51346,40279.38462,40045.52115,38904.19808,40072.99231,38940.65385,39071.21538,39367.36538
X-n106-k14,CARI,50,30,37763.78269,37506.20962,40754.28077,38113.27308,38853.43077,39056.36538,39150.08846,39705.51538,39795.49423,39311.01346,40174.60192,39619.56154,38335.28654,39971.29231,40010.90962,38886.33077,39583.75962,38754.625,38842.01346,38726.65192
X-n106-k14,CARI,50,31,37774.84038,37396.975,40221.47115,38222.19231,38762.625,39026.92115,38966.73269,39656.80962,39869.61538,38876.25385,40367.91731,39419.33654,38179.10769,39728.98269,40063.78077,38650.41154,39322.4,38572.25577,38961.34808,38206.81538
X-n106-k14,CARI,50,32,37619.65,37185.95385,39327.65962,38178.53269,38724.62885,38891.72692,38755.97885,39569.33846,39737.31923,38928.56154,40171.13077,39294.31538,38026.96923,39545.31923,40004.49808,38382.49423,39027.63654,38405.40769,38549.61923,38390.6
X-n106-k14,CARI,50,33,37616.34231,37193.25385,39026,37945.21346,38452.44808,38883.08462,38786.575,39459.88654,39446.575,38793.075,40074.83269,39664.31731,37854.38269,39656.31731,39851.94038,38211.50192,39015.85,38364.17115,38352.10769,38171.12308
X-n106-k14,CARI,50,34,37475.73654,37203.60769,39018.63846,37970.51538,38317.55769,38752.08654,38665.87115,39353.36346,39330.98462,38758.99231,39927.75577,39402.38269,37736.78654,39463.98846,39680.47692,37984.62885,38921.12692,38496.34615,37843.7,37852.51346
X-n106-k14,CARI,50,35,37435.79038,37081.50385,38765.57115,37851.95385,38410.09615,38681.72308,38356.20577,39100.83077,39346.79615,38480.84808,40017.28269,39091.73462,37730.05769,39479.85,39397.9,37927.83269,38861.725,38116.84615,37725.38077,37654.57692
X-n106-k14,CARI,50,36,37524.81346,37339.90192,38562.91923,37829.25385,38464.11154,38567.5,38425.15385,38546.66346,39209.43077,38204.04038,39945.00769,39188.36731,37249.72692,39144.98846,39376.675,37901.15962,38874.47692,37742.81154,37667.54423,37830.64808
X-n106-k14,CARI,50,37,37324.56538,37089.54231,38246.45962,38066.57115,38315.45769,38461.11731,37970.17308,38349.75962,39200.08077,37760.40769,39889.47692,38809.58846,36916.89615,38930.67885,39263.12692,37839.17885,38833.51731,37810.92885,37887.98077,37779.13846
X-n106-k14,CARI,50,38,37419.97692,37275.33462,38418.05,37852.07692,38438.51923,38327.56154,37922.14038,38273.31731,39424.12115,37707.45,39355.12308,38631.75192,36656.41731,38910.78846,39067.35192,37794.39231,38538.88269,37785.62692,37650.25385,37683.93077
X-n106-k14,CARI,50,39,37411.56154,37153.79615,38112.81731,37974.23654,38296.48462,38388.18077,37900.74423,37665.00962,39439.58654,37437.37692,39505.26923,38548.58077,36733.42692,38733.61923,38899.59808,37812.28654,38358.00577,37717.78462,37343.76923,37643.13846
X-n106-k14,CARI,50,40,37399.28462,36965.15769,38119.06731,37747.26731,38440.50769,38292.26538,37807.97885,37332.68462,38686.78462,37262.20385,39568.73269,38401.31923,36537.375,38560.53462,38850.63846,37636.48654,38395.66923,37702.43077,37248.54423,37663.58462
X-n106-k14,CARI,50,41,37406.68846,37007.48077,37932.08654,37346.68462,38407.27308,38366.12115,37908.91923,37200.99808,38836.65962,37026.78654,39178.52692,38325.43654,36358.65577,38417.7,38972.425,37485.35,38264.37692,37507.50962,37197.55192,37493.23462
X-n106-k14,CARI,50,42,37240.85385,36814.09615,37889.57115,37157.32308,38431.35385,38323.05192,37827.96154,37449.41538,38581.125,36866.85769,39243.83462,38105.84423,36303.96731,38212.07308,38971.21346,37152.55385,38224.77115,37236.49423,36817.56154,37441.85
X-n106-k14,CARI,50,43,37143.28846,36367.91154,37838.80769,37038.19231,38160.69231,37959.25192,37754.16731,37251.90192,37965.075,37025.04615,39230.72692,37779.80577,36088.02692,38025.28654,38680.38654,36910.31154,38210.42692,37167.69615,36899.50769,37456.025
X-n106-k14,CARI,50,44,37228.82885,36083.60385,37814.88077,36974.14423,37878.36346,37950.26731,37720.48077,37247.21923,38073.33077,36757.14423,39237.73846,37777.09231,36095.91923,37734.65962,38196.94038,36851.53077,38142.36538,37089.40769,36749.44423,37127.19615
X-n106-k14,CARI,50,45,37352.91731,36115.10385,37827.53654,36787.54615,37709.57308,37950.11154,37798.58846,37359.49423,37861.83077,36592.18269,38842.7,37682.35769,36026.92885,37639.38846,38006.73846,36757.55577,38284.77885,36988.24615,36719.41154,36994.05
X-n106-k14,CARI,50,46,37398.13077,36255.44615,37862.29615,36760.16731,37739.05,37766.95,37730.81923,37524.43077,37741.17115,36538.47885,38417.30962,37489.82115,36060.09808,37803.03846,37953.21923,36989.20577,38296.43654,36901.50192,36675.70192,36660.28846
