Benchmark,type_konfig_parameter,Run,CARI,CA-NN,CA-KNN2,CA-KNN3,CA-KNN4,CA-KNN5,HNRI
X-n655-k131,tuned type 1,19,174675,109862,111054,112957,114532,116574,109869
X-n655-k131,tuned type 1,20,170867,109865,111244,113488,114875,116572,109853
X-n801-k40,tuned type 1,1,169923,80112.8,85604.1,91453.6,95831.7,100051,80112.8
X-n801-k40,tuned type 1,2,161131,80112.8,85896.6,91021.3,95835.9,100221,80112.8
X-n801-k40,tuned type 1,3,164177,80112.8,85920.8,91321.6,95913.2,100113,80112.8
X-n801-k40,tuned type 1,4,166823,80112.8,86237.6,90664.4,95861.2,100524,80112.8
X-n801-k40,tuned type 1,5,168086,80112.8,85573.3,90707.3,95530,98627.7,80105.6
X-n801-k40,tuned type 1,6,169043,80112.8,85871.9,91125.1,95849.2,99968.6,80112.8
X-n801-k40,tuned type 1,7,164399,80112.8,86104.9,91168.7,95211.5,99887.1,80112.8
X-n801-k40,tuned type 1,8,164681,80112.8,85976.2,90885.4,95563.1,100110,80112.8
X-n801-k40,tuned type 1,9,159587,80112.8,85487.8,90529.4,94776,100278,80112.8
X-n801-k40,tuned type 1,10,163009,80112.8,85494.4,90858.7,96172.9,99393.8,80112.8
X-n801-k40,tuned type 1,11,154861,80112.8,85816.6,91078,95735.3,99427.2,80112.8
X-n801-k40,tuned type 1,12,164323,80112.8,86093.8,91415.3,95692,99662.3,80112.8
X-n801-k40,tuned type 1,13,160040,80112.8,85777.7,91125.5,95481.9,100243,80112.8
X-n801-k40,tuned type 1,14,162221,80112.8,85854.8,90817.1,95474.1,99696.2,80112.8
X-n801-k40,tuned type 1,15,162359,80112.8,86039.8,90888.7,95966.5,98664.3,80112.8
X-n801-k40,tuned type 1,16,167358,80112.8,85981.1,91120.5,96107.4,99282.6,80112.8
X-n801-k40,tuned type 1,17,161484,80112.8,85949.3,91341.5,95322.2,99950.7,80112.8
X-n801-k40,tuned type 1,18,163240,80112.8,85999.1,90894.2,95513.1,99404.2,80138
X-n801-k40,tuned type 1,19,163355,80112.8,85731.3,91424.2,95417.9,100177,80112.5
X-n801-k40,tuned type 1,20,164762,80112.8,85987.5,91145,95827.5,99311.1,80112.8
X-n876-k59,tuned type 1,1,231080,119890,119435,121516,128034,127187,117023
X-n876-k59,tuned type 1,2,237223,119815,117995,120607,124257,127725,115314
X-n876-k59,tuned type 1,3,253596,117245,118771,119592,122837,128135,114675
X-n876-k59,tuned type 1,4,246031,118868,117134,124671,126461,129080,114955
X-n876-k59,tuned type 1,5,230864,117804,119304,121753,124978,129272,114490
X-n876-k59,tuned type 1,6,249182,119557,116719,120738,124444,128545,116327
X-n876-k59,tuned type 1,7,232352,120442,117984,125065,123946,128898,115745
X-n876-k59,tuned type 1,8,224706,117656,118562,121780,126049,129076,116801
X-n876-k59,tuned type 1,9,251432,119810,118846,120034,124948,126447,117717
X-n876-k59,tuned type 1,10,251542,119497,117093,122937,126401,128971,116817
X-n876-k59,tuned type 1,11,232131,117712,118504,122603,126327,125330,115187
X-n876-k59,tuned type 1,12,256781,119835,115672,121819,127996,130110,114989
X-n876-k59,tuned type 1,13,241207,119151,117648,122780,125809,129474,114292
X-n876-k59,tuned type 1,14,244181,119937,118685,123226,125165,128869,114650
X-n876-k59,tuned type 1,15,228587,118677,118289,119753,125191,128072,114666
X-n876-k59,tuned type 1,16,256732,120716,119367,124894,127621,129057,113777
X-n876-k59,tuned type 1,17,245970,120085,116457,122058,124746,126783,113641
X-n876-k59,tuned type 1,18,237973,119985,117551,121111,122334,130139,114481
X-n876-k59,tuned type 1,19,236275,118541,120283,123444,126541,128943,117305
X-n876-k59,tuned type 1,20,234652,120232,120343,122383,125001,126547,115693
X-n957-k87,tuned type 1,1,232078,92414.7,97096.8,102141,106489,110679,92415
X-n957-k87,tuned type 1,2,221590,92410.2,97220.7,102823,106085,110683,92414.7
X-n957-k87,tuned type 1,3,213759,92421.9,97219.6,102391,106307,111017,92414.7
X-n957-k87,tuned type 1,4,226728,92416.1,97161.3,102437,107115,111058,92416.1
X-n957-k87,tuned type 1,5,242075,92414.7,97320.8,102201,106915,109415,92420.3
X-n957-k87,tuned type 1,6,241531,92395.9,97340.2,101557,106751,110816,92414.7
X-n957-k87,tuned type 1,7,236309,92416.1,97775.3,102026,106836,110991,92428.3
X-n957-k87,tuned type 1,8,234666,92422.3,97551,102609,107158,110403,92414.7
X-n957-k87,tuned type 1,9,217613,92414.7,97283.5,101993,106933,111077,92414.7
X-n957-k87,tuned type 1,10,228420,92404.3,96789.3,102190,106690,111056,92414.7
X-n957-k87,tuned type 1,11,218778,92414.7,97414.2,101528,105930,110861,92414.7
X-n957-k87,tuned type 1,12,233374,92414.7,97576.8,102257,106149,110892,92414.7
X-n957-k87,tuned type 1,13,224993,92414.7,97275.4,101584,106257,111336,92414.7
X-n957-k87,tuned type 1,14,225564,92414.7,96998.2,102236,106054,110270,92414.7
X-n957-k87,tuned type 1,15,236574,92414.7,97398.1,102004,107029,110139,92412.2
X-n957-k87,tuned type 1,16,247351,92416.1,97345.6,102499,106843,110070,92414.7
X-n957-k87,tuned type 1,17,239914,92416.2,97480.5,101908,107128,110477,92416.1
X-n957-k87,tuned type 1,18,241806,92424.4,97231.3,102437,106628,110676,92414.7
X-n957-k87,tuned type 1,19,225874,92414.7,97014.4,102085,106121,110444,92422.2
X-n957-k87,tuned type 1,20,231104,92414.7,97734.1,102990,106828,110917,92414.7
X-n1001-k43,tuned type 1,1,176642,86003.2,92374.8,98234.4,100760,104998,86136.8
X-n1001-k43,tuned type 1,2,171589,85996,92165.4,98316.4,102230,106916,85421.5
X-n1001-k43,tuned type 1,3,190695,85885.5,92079.2,98656.5,102577,109308,86150
X-n1001-k43,tuned type 1,4,170603,86150,92425.8,96042.2,101014,104682,86073.7
X-n1001-k43,tuned type 1,5,168495,86150,91893.7,97252.1,100871,105619,86038.6
X-n1001-k43,tuned type 1,6,179590,85997,91018,98773.3,104755,108233,86150
X-n1001-k43,tuned type 1,7,183545,86150,92043.1,99242.5,104063,105417,85705
X-n1001-k43,tuned type 1,8,181294,86150,92251.6,97731.9,102259,107428,85828.3
X-n1001-k43,tuned type 1,9,173859,86150,92022,98572.9,102065,107915,86134.2
X-n1001-k43,tuned type 1,10,170936,85996,92365.3,97916.8,103505,105892,86033.1
X-n1001-k43,tuned type 1,11,176231,85858.7,92797.6,97965.6,102255,107796,86139
X-n1001-k43,tuned type 1,12,181308,86150,91837.3,98517.2,102198,107014,86150
X-n1001-k43,tuned type 1,13,170097,86150,92449.6,97200.6,102965,109170,86086.3
X-n1001-k43,tuned type 1,14,178229,86003.2,91997.9,97878.5,101147,104285,86150
X-n1001-k43,tuned type 1,15,187184,86150,92027.4,98142.8,102113,104743,86150
X-n1001-k43,tuned type 1,16,172340,86003.2,92107.2,97252,100860,108126,86150
X-n1001-k43,tuned type 1,17,178551,85460.6,92100.5,97418.6,102625,106367,85995.8
X-n1001-k43,tuned type 1,18,177129,86150,91656.8,98639.4,103214,109154,86120.5
X-n1001-k43,tuned type 1,19,174656,85996,91293.8,97805.9,103069,105232,86068.1
X-n1001-k43,tuned type 1,20,182952,85120.5,92218.9,98862.2,103285,104393,85921.9
